CODGEO,P13_CHOM1564
81001,11
81002,163
81003,30
81004,3600
81005,29
81006,8
81007,3
81008,15
81009,7
81010,16
81011,54
81012,8
81013,11
81014,14
81015,4
81016,17
81017,4
81018,126
81019,4
81020,11
81021,433
81022,7
81023,3
81024,13
81025,8
81026,12
81027,3
81028,2
81029,2
81030,8
81031,31
81032,62
81033,241
81034,25
81035,6
81036,68
81037,76
81038,94
81039,109
81040,18
81041,2
81042,103
81043,37
81044,6
81045,28
81046,71
81047,6
81048,124
81049,8
81050,20
81051,38
81052,80
81053,16
81054,46
81055,18
81056,4
81058,9
81059,19
81060,734
81061,5
81062,36
81063,50
81064,47
81065,3279
81066,18
81067,27
81068,9
81069,61
81070,134
81071,5
81072,3
81073,10
81074,49
81075,25
81076,29
81077,13
81078,58
81079,38
81080,5
81081,67
81082,9
81083,12
81084,45
81085,1
81086,8
81087,21
81088,19
81089,3
81090,9
81091,5
81092,56
81093,25
81094,11
81095,3
81096,21
81097,46
81098,15
81099,998
81100,18
81101,53
81102,9
81103,7
81104,62
81105,963
81106,26
81108,6
81109,20
81110,3
81111,2
81112,38
81113,21
81114,16
81115,90
81116,76
81117,38
81118,10
81119,38
81120,426
81121,31
81122,1
81123,7
81124,101
81125,11
81126,15
81127,9
81128,92
81129,15
81130,108
81131,81
81132,57
81133,18
81134,4
81135,7
81136,15
81137,2
81138,31
81139,60
81140,602
81141,8
81142,53
81143,40
81144,266
81145,217
81146,11
81147,42
81148,2
81149,18
81150,11
81151,10
81152,10
81153,2
81154,5
81155,20
81156,148
81157,10
81158,6
81159,7
81160,32
81161,1
81162,11
81163,802
81164,22
81165,5
81166,7
81167,3
81168,43
81169,7
81170,48
81171,63
81172,1
81173,12
81174,32
81175,17
81176,5
81177,12
81178,19
81179,11
81180,12
81181,7
81182,97
81183,7
81184,3
81185,8
81186,16
81187,4
81188,12
81189,4
81190,19
81191,12
81192,29
81193,15
81195,29
81196,50
81197,14
81198,20
81199,10
81200,22
81201,44
81202,37
81203,17
81204,97
81205,10
81206,38
81207,7
81208,18
81209,148
81210,13
81211,19
81212,7
81213,2
81214,7
81215,33
81216,15
81217,35
81218,130
81219,193
81220,286
81221,9
81222,207
81223,3
81224,9
81225,52
81226,12
81227,144
81228,11
81229,3
81230,32
81231,16
81232,25
81233,8
81234,5
81235,21
81236,13
81237,14
81238,92
81239,41
81240,9
81241,14
81242,14
81243,5
81244,164
81245,7
81246,6
81247,12
81248,52
81249,37
81250,11
81251,41
81252,7
81253,23
81254,23
81255,16
81256,6
81257,491
81258,15
81259,6
81260,17
81261,38
81262,7
81263,23
81264,2
81265,1
81266,70
81267,20
81268,0
81269,27
81270,11
81271,378
81272,20
81273,155
81274,29
81275,5
81276,61
81277,30
81278,19
81279,19
81280,9
81281,93
81282,1
81283,38
81284,63
81285,18
81286,32
81287,16
81288,174
81289,121
81290,9
81291,19
81292,16
81293,14
81294,40
81295,22
81296,11
81297,28
81298,21
81299,25
81300,2
81301,8
81302,1
81303,24
81304,4
81305,44
81306,35
81307,32
81308,46
81309,31
81310,2
81311,26
81312,47
81313,11
81314,18
81315,72
81316,11
81317,47
81318,14
81319,15
81320,7
81321,3
81322,6
81323,23
81324,7
81325,77
81326,21